page,product_name,matrix,processor,core,ram,ssd,card
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=5,"14"" Ультрабук ASUS ZenBook Flip UM462DA-AI009T серый",IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 8 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=5,"14"" Ультрабук Lenovo IdeaPad 530S-14IKB голубой",IPS,Intel Core i7 8550U,4 х 1.8 ГГц,RAM 8 ГБ,SSD 512 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=5,"14"" Ультрабук MSI Modern 14 A10M-813RU серый",IPS,Intel Core i5 10210U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 512 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=5,"13.3"" Ультрабук Lenovo Yoga S730-13IWL серый",IPS,Intel Core i7 8565U,4 х 1.8 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=5,"13"" Ультрабук Huawei Matebook 13 HN-W19R серый",IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 16 ГБ,SSD 512 ГБ,Radeon Vega 8 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=5,"13.3"" Ультрабук ASUS ZenBook UX333FA-A3069T синий",IPS,Intel Core i5 8265U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=5,"13.9"" Ультрабук Huawei Matebook X Pro серый",IPS,Intel Core i5 8250U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,GeForce MX150 2 Гб
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=5,"14"" Ультрабук ASUS VivoBook Flip TP412FA-EC275T синий",IPS,Intel Core i5 8265U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=5,"14"" Ультрабук Acer Swift SF514-53T-78DH синий",IPS,Intel Core i7 8565U,4 х 1.8 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=6,"15.6"" Ультрабук ASUS VivoBook S S531FA-BQ250T серый",IPS,Intel Core i5 10210U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=6,"15.6"" Ультрабук Lenovo IdeaPad S340-15IILD черный",IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,GeForce MX250 2 Гб
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=6,"14"" Ультрабук ASUS ZenBook UX431FA-AM022T синий",IPS,Intel Core i5 8265U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=6,"13.3"" Ультрабук HP ENVY x360 13-ar0007ur черный",IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 8 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=6,"14"" Ультрабук ASUS ZenBook UM431DA-AM052T синий",IPS,AMD Ryzen 7 3700U,4 х 2.3 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 10 
